src,dst,volume,path_nodes
12652,16339,1.0,"[12652, 12940, 11853, 19502, 13989, 15686, 16339]"
12652,10044,168.0,"[12652, 10044]"
12652,14234,122.0,"[12652, 14234]"
12652,11209,1.0,"[12652, 13170, 11209]"
12652,19147,300.0,"[12652, 19147]"
12652,17522,1.0,"[12652, 17522]"
12652,18448,300.0,"[12652, 18448]"
12652,13237,300.0,"[12652, 13237]"
12652,10748,189.0,"[12652, 10748]"
12652,11181,240.0,"[12652, 11181]"
12652,10796,128.0,"[12652, 10796]"
12652,11022,67.0,"[12652, 11022]"
12652,19500,1.0,"[12652, 12940, 11853, 19500]"
12652,13917,300.0,"[12652, 13917]"
12652,16108,1.0,"[12652, 12940, 11853, 19502, 13165, 16108]"
12652,15651,1.0,"[12652, 12940, 11853, 19502, 13165, 16108, 15651]"
12652,14053,1.0,"[12652, 13073, 14053]"
12652,11189,1.0,"[12652, 12940, 11853, 11189]"
12652,19915,1.0,"[12652, 19915]"
12652,17223,8.0,"[12652, 17223]"
12652,19239,159.0,"[12652, 19239]"
12652,17781,1.0,"[12652, 17781]"
12652,12746,300.0,"[12652, 12746]"
12652,12633,300.0,"[12652, 12633]"
12652,16683,300.0,"[12652, 16683]"
12652,12352,1.0,"[12652, 12352]"
12652,15948,1.0,"[12652, 15948]"
12652,12369,300.0,"[12652, 12369]"
12652,11147,300.0,"[12652, 11147]"
12652,14358,177.0,"[12652, 14358]"
12652,10301,300.0,"[12652, 10301]"
12652,15483,1.0,"[12652, 15483]"
12652,11455,31.0,"[12652, 11022, 11455]"
12652,11455,90.0,"[12652, 11455]"
12652,10316,287.0,"[12652, 10316]"
12652,12270,300.0,"[12652, 12270]"
12652,12868,1.0,"[12652, 11022, 11455, 12868]"
12652,19273,300.0,"[12652, 19273]"
12652,18411,300.0,"[12652, 18411]"
12652,15241,1.0,"[12652, 12940, 11853, 15241]"
12652,16117,1.0,"[12652, 13170, 16117]"
12652,10955,300.0,"[12652, 10955]"
12652,15264,300.0,"[12652, 15264]"
12652,16855,300.0,"[12652, 16855]"
12652,14704,58.0,"[12652, 11022, 11455, 14704]"
